Code,Description
"02Q","Titan Airways (2006 - )"
"04Q","Tradewind Aviation (2006 - 2023)"
"05Q","Comlux Aviation, AG (2006 - 2012)"
"06Q","Master Top Linhas Aereas Ltd. (2007 - )"
"07Q","Flair Airlines Ltd. (2007 - )"
"09Q","Swift Air, LLC (2006 - 2017)"
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern (2018 - )"
"0BQ","DCA (2007 - )"
"0CQ","ACM AIR CHARTER GmbH (2007 - )"
